mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	3
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	4
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	1
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	5
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	2
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	10
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	6
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	11
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	7
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	12
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	13
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	9
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	16
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	14
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	17
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	15
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	23
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	18
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	24
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	19
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	25
4	4	14	14	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5	20
4	4	29/2	29/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	21
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	26
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	22
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		7	49	C#3	3	30
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	27
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	31
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	28
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	32
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	29
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	36
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	33
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	37
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	34
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	38
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	35
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	44
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	39
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	40	E2	2	45
7	7	25	25	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	40
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62	D4	4	41
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	46
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	60	C4	4	42
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	47
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	43
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		0	48	C3	3	50
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	48
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	51
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	49
9	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		3	45	A2	2	57
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	52
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	58
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	53
9	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	48	C3	3	59
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	54
9	9	35	35	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	47	B2	2	60
9	9	35	35	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	55
9	9	71/2	71/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	45	A2	2	61
9	9	71/2	71/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	56
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		8	44	G#2	2	65
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	62
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	66
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	63
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	67
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	64
11	11	41	41	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	72
11	11	41	41	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	68
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	73
